
2024/12/08 (02:18:02) | ===> btop++ v.1.4.0
2024/12/08 (02:18:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/08 (02:18:25) | ===> btop++ v.1.4.0
2024/12/08 (02:18:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/08 (02:18:47) | ===> btop++ v.1.4.0
2024/12/08 (02:18:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/08 (13:50:27) | ===> btop++ v.1.4.0
2024/12/08 (13:50:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/08 (21:29:27) | ===> btop++ v.1.4.0
2024/12/08 (21:29:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/08 (22:05:28) | ===> btop++ v.1.4.0
2024/12/08 (22:05:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/08 (23:26:36) | ===> btop++ v.1.4.0
2024/12/08 (23:26:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/09 (00:08:15) | ===> btop++ v.1.4.0
2024/12/09 (00:08:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/09 (00:52:09) | ===> btop++ v.1.4.0
2024/12/09 (00:52:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/09 (00:52:56) | ===> btop++ v.1.4.0
2024/12/09 (00:52:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/09 (00:57:03) | ===> btop++ v.1.4.0
2024/12/09 (00:57:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/09 (01:14:23) | ===> btop++ v.1.4.0
2024/12/09 (01:14:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/09 (18:40:39) | ===> btop++ v.1.4.0
2024/12/09 (18:40:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/11 (00:39:08) | ===> btop++ v.1.4.0
2024/12/11 (00:39:08) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/11 (00:44:12) | ===> btop++ v.1.4.0
2024/12/11 (00:44:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/11 (02:17:55) | ===> btop++ v.1.4.0
2024/12/11 (02:17:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/11 (02:31:40) | ===> btop++ v.1.4.0
2024/12/11 (02:31:40) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (19:58:30) | ===> btop++ v.1.4.0
2024/12/12 (19:58:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (19:59:46) | ===> btop++ v.1.4.0
2024/12/12 (19:59:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (20:00:01) | ===> btop++ v.1.4.0
2024/12/12 (20:00:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/13 (20:32:28) | ===> btop++ v.1.4.0
2024/12/13 (20:32:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/13 (23:10:11) | ===> btop++ v.1.4.0
2024/12/13 (23:10:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/14 (02:10:09) | ===> btop++ v.1.4.0
2024/12/14 (02:10:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/18 (00:28:57) | ===> btop++ v.1.4.0
2024/12/18 (00:28:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/18 (00:29:04) | ===> btop++ v.1.4.0
2024/12/18 (00:29:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/20 (19:10:07) | ===> btop++ v.1.4.0
2024/12/20 (19:10:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/21 (01:24:48) | ===> btop++ v.1.4.0
2024/12/21 (01:24:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/22 (19:55:28) | ===> btop++ v.1.4.0
2024/12/22 (19:55:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/24 (02:03:58) | ===> btop++ v.1.4.0
2024/12/24 (02:03:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/24 (02:04:07) | ===> btop++ v.1.4.0
2024/12/24 (02:04:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/26 (13:26:35) | ===> btop++ v.1.4.0
2024/12/26 (13:26:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/26 (13:35:55) | ===> btop++ v.1.4.0
2024/12/26 (13:35:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/27 (10:02:03) | ===> btop++ v.1.4.0
2024/12/27 (10:02:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/27 (22:00:45) | ===> btop++ v.1.4.0
2024/12/27 (22:00:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (04:03:48) | ===> btop++ v.1.4.0
2024/12/28 (04:03:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/04 (22:43:23) | ===> btop++ v.1.4.0
2025/01/04 (22:43:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/05 (20:52:10) | ===> btop++ v.1.4.0
2025/01/05 (20:52:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/05 (21:29:40) | ===> btop++ v.1.4.0
2025/01/05 (21:29:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/05 (21:29:42) | ===> btop++ v.1.4.0
2025/01/05 (21:29:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/05 (21:33:00) | ===> btop++ v.1.4.0
2025/01/05 (21:33:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/05 (21:34:59) | ===> btop++ v.1.4.0
2025/01/05 (21:34:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/05 (21:40:49) | ===> btop++ v.1.4.0
2025/01/05 (21:40:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/06 (08:33:21) | ===> btop++ v.1.4.0
2025/01/06 (08:33:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/08 (19:19:25) | ===> btop++ v.1.4.0
2025/01/08 (19:19:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/08 (19:19:35) | ===> btop++ v.1.4.0
2025/01/08 (19:19:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/09 (15:58:05) | ===> btop++ v.1.4.0
2025/01/09 (15:58:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/13 (00:06:24) | ===> btop++ v.1.4.0
2025/01/13 (00:06:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/13 (17:35:24) | ===> btop++ v.1.4.0
2025/01/13 (17:35:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/13 (17:39:49) | ===> btop++ v.1.4.0
2025/01/13 (17:39:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/13 (22:52:22) | ===> btop++ v.1.4.0
2025/01/13 (22:52:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/17 (06:10:12) | ===> btop++ v.1.4.0
2025/01/17 (06:10:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/17 (07:46:28) | ===> btop++ v.1.4.0
2025/01/17 (07:46:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/17 (21:26:05) | ===> btop++ v.1.4.0
2025/01/17 (21:26:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/18 (16:44:42) | ===> btop++ v.1.4.0
2025/01/18 (16:44:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/19 (00:03:25) | ===> btop++ v.1.4.0
2025/01/19 (00:03:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/19 (00:19:19) | ===> btop++ v.1.4.0
2025/01/19 (00:19:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/19 (00:25:21) | ===> btop++ v.1.4.0
2025/01/19 (00:25:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/19 (00:25:30) | ===> btop++ v.1.4.0
2025/01/19 (00:25:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/19 (03:18:31) | ===> btop++ v.1.4.0
2025/01/19 (03:18:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/19 (04:21:24) | ===> btop++ v.1.4.0
2025/01/19 (04:21:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/20 (22:31:05) | ===> btop++ v.1.4.0
2025/01/20 (22:31:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/22 (00:19:08) | ===> btop++ v.1.4.0
2025/01/22 (00:19:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/22 (13:27:06) | ===> btop++ v.1.4.0
2025/01/22 (13:27:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (20:43:45) | ===> btop++ v.1.4.0
2025/01/24 (20:43:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (20:57:41) | ===> btop++ v.1.4.0
2025/01/24 (20:57:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (21:22:49) | ===> btop++ v.1.4.0
2025/01/24 (21:22:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/25 (14:56:42) | ===> btop++ v.1.4.0
2025/01/25 (14:56:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/25 (14:56:46) | ===> btop++ v.1.4.0
2025/01/25 (14:56:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/26 (22:35:36) | ===> btop++ v.1.4.0
2025/01/26 (22:35:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/27 (00:46:57) | ===> btop++ v.1.4.0
2025/01/27 (00:46:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/27 (10:59:54) | ===> btop++ v.1.4.0
2025/01/27 (10:59:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/27 (11:00:01) | ===> btop++ v.1.4.0
2025/01/27 (11:00:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/27 (21:09:53) | ===> btop++ v.1.4.0
2025/01/27 (21:09:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/28 (04:27:19) | ===> btop++ v.1.4.0
2025/01/28 (04:27:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/28 (04:27:37) | ===> btop++ v.1.4.0
2025/01/28 (04:27:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/28 (04:28:21) | ===> btop++ v.1.4.0
2025/01/28 (04:28:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/28 (04:37:17) | ===> btop++ v.1.4.0
2025/01/28 (04:37:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/28 (04:37:27) | ===> btop++ v.1.4.0
2025/01/28 (04:37:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/28 (04:38:42) | ===> btop++ v.1.4.0
2025/01/28 (04:38:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/28 (04:45:51) | ===> btop++ v.1.4.0
2025/01/28 (04:45:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/29 (04:28:58) | ===> btop++ v.1.4.0
2025/01/29 (04:28:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/29 (04:40:57) | ===> btop++ v.1.4.0
2025/01/29 (04:40:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/30 (01:16:08) | ===> btop++ v.1.4.0
2025/01/30 (01:16:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/30 (01:29:08) | ===> btop++ v.1.4.0
2025/01/30 (01:29:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/30 (07:40:11) | ===> btop++ v.1.4.0
2025/01/30 (07:40:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/30 (08:02:29) | ===> btop++ v.1.4.0
2025/01/30 (08:02:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/30 (19:21:53) | ===> btop++ v.1.4.0
2025/01/30 (19:21:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/30 (19:22:40) | ===> btop++ v.1.4.0
2025/01/30 (19:22:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/31 (20:31:21) | ===> btop++ v.1.4.0
2025/01/31 (20:31:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/02 (23:40:02) | ===> btop++ v.1.4.0
2025/02/02 (23:40:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/03 (03:46:53) | ===> btop++ v.1.4.0
2025/02/03 (03:46:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/04 (01:23:02) | ===> btop++ v.1.4.0
2025/02/04 (01:23:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/04 (02:17:45) | ===> btop++ v.1.4.0
2025/02/04 (02:17:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/04 (03:15:22) | ===> btop++ v.1.4.0
2025/02/04 (03:15:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/04 (05:03:24) | ===> btop++ v.1.4.0
2025/02/04 (05:03:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/04 (05:03:29) | ===> btop++ v.1.4.0
2025/02/04 (05:03:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/04 (05:13:47) | ===> btop++ v.1.4.0
2025/02/04 (05:13:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/04 (23:26:13) | ===> btop++ v.1.4.0
2025/02/04 (23:26:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/04 (23:26:17) | ===> btop++ v.1.4.0
2025/02/04 (23:26:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/05 (00:25:34) | ===> btop++ v.1.4.0
2025/02/05 (00:25:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/05 (01:34:24) | ===> btop++ v.1.4.0
2025/02/05 (01:34:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/05 (01:42:28) | ===> btop++ v.1.4.0
2025/02/05 (01:42:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/05 (01:42:31) | ===> btop++ v.1.4.0
2025/02/05 (01:42:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/05 (02:55:00) | ===> btop++ v.1.4.0
2025/02/05 (02:55:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/05 (19:54:35) | ===> btop++ v.1.4.0
2025/02/05 (19:54:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/06 (07:03:25) | ===> btop++ v.1.4.0
2025/02/06 (07:03:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/06 (20:01:45) | ===> btop++ v.1.4.0
2025/02/06 (20:01:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/06 (22:59:19) | ===> btop++ v.1.4.0
2025/02/06 (22:59:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/09 (13:03:08) | ===> btop++ v.1.4.0
2025/02/09 (13:03:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/09 (13:04:29) | ===> btop++ v.1.4.0
2025/02/09 (13:04:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/09 (21:46:33) | ===> btop++ v.1.4.0
2025/02/09 (21:46:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/10 (15:53:17) | ===> btop++ v.1.4.0
2025/02/10 (15:53:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/10 (22:00:43) | ===> btop++ v.1.4.0
2025/02/10 (22:00:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/12 (19:57:22) | ===> btop++ v.1.4.0
2025/02/12 (19:57:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/12 (19:57:29) | ===> btop++ v.1.4.0
2025/02/12 (19:57:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/13 (01:38:53) | ===> btop++ v.1.4.0
2025/02/13 (01:38:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/13 (01:55:04) | ===> btop++ v.1.4.0
2025/02/13 (01:55:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/13 (01:55:34) | ===> btop++ v.1.4.0
2025/02/13 (01:55:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/13 (02:02:32) | ===> btop++ v.1.4.0
2025/02/13 (02:02:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/13 (02:11:41) | ===> btop++ v.1.4.0
2025/02/13 (02:11:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/13 (02:31:35) | ===> btop++ v.1.4.0
2025/02/13 (02:31:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/13 (02:39:29) | ===> btop++ v.1.4.0
2025/02/13 (02:39:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/13 (02:47:29) | ===> btop++ v.1.4.0
2025/02/13 (02:47:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/13 (04:49:54) | ===> btop++ v.1.4.0
2025/02/13 (04:49:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/13 (15:00:45) | ===> btop++ v.1.4.0
2025/02/13 (15:00:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/13 (15:09:07) | ===> btop++ v.1.4.0
2025/02/13 (15:09:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/14 (15:09:22) | ===> btop++ v.1.4.0
